province_name,district_name,lat,lon,avg_temp,avg_rain,treecover_pct,potential_treecover_pct,missing_treecover_pct,model_potential_treecover_pct,model_missing_treecover_pct
Bitlis,Tatvan,38.51799967914113,42.51828497560248,9.85576923076923,0.0,0.0,10,10.0,28.239102380952435,28.239102380952435
Bolu,Dörtdivan,40.62557023633769,32.015302273920305,8.989923076923077,0.0,37.84,10,0.0,48.86465499999992,11.024654999999917
Bolu,Gerede,40.67750222558938,32.289424493167886,8.673538461538461,0.0,59.1,10,0.0,41.21460000000001,0.0
Bolu,Göynük,40.35526736058966,30.831437477465787,11.42753846153846,0.0,31.19,10,0.0,23.993518253968237,0.0
Bolu,Kıbrıscık,40.45772979471433,31.88822325927627,8.989923076923077,0.0,57.57,10,0.0,48.86465499999992,0.0
Bolu,Mengen,40.93990906222086,31.990957250994988,11.059461538461536,0.0,89.31,10,0.0,51.03596829365084,0.0
Bolu,Merkez,40.72073195594632,31.673141976646576,8.989923076923077,0.0,0.0,10,10.0,48.86465499999992,48.86465499999992
Bolu,Mudurnu,40.51828726530535,31.21715317657329,9.995692307692307,0.0,0.0,10,10.0,60.22374999999985,60.22374999999985
Bolu,Seben,40.43696945302324,31.584044874139128,8.989923076923077,0.0,0.0,10,10.0,48.86465499999992,48.86465499999992
Bolu,Yeniçağa,40.80937533872298,31.99219570377489,11.059461538461536,0.0,24.37,10,0.0,51.03596829365084,26.665968293650838
Burdur,Altınyayla,37.04173890420034,29.5441406747095,12.564615384615385,0.0,11.01,10,0.0,17.17355107142862,6.1635510714286195
Burdur,Ağlasun,37.631947177072746,30.593209660332683,13.294538461538462,0.0,1.65,10,8.35,20.54544551587297,18.89544551587297
Burdur,Bucak,37.37859072254869,30.58877637477481,13.294538461538462,0.0,13.7,10,0.0,20.54544551587297,6.845445515872971
Burdur,Gölhisar,37.18845572099243,29.52214544826325,12.564615384615385,0.0,0.0,10,10.0,17.17355107142862,17.17355107142862
Burdur,Karamanlı,37.40390578319255,29.85091477079453,12.424923076923076,0.0,0.0,10,10.0,33.633711666666706,33.633711666666706
Burdur,Kemer,37.37395018368012,30.10481044785544,12.424923076923076,0.0,0.0,10,10.0,33.633711666666706,33.633711666666706
Burdur,Merkez,37.62821741796972,30.226163400073304,12.424923076923076,0.0,0.0,10,10.0,33.633711666666706,33.633711666666706
Burdur,Tefenni,37.2930474558543,29.773586929586024,12.424923076923076,0.0,0.0,10,10.0,33.633711666666706,33.633711666666706
Burdur,Yeşilova,37.59087483186178,29.78477474607546,12.424923076923076,0.0,0.0,10,10.0,33.633711666666706,33.633711666666706
Burdur,Çavdır,37.12999289460608,29.71940604797144,11.057230769230769,0.0,0.0,10,10.0,50.579680198412746,50.579680198412746
Burdur,Çeltikçi,37.544296263046704,30.446935392977203,13.294538461538462,0.0,3.41,10,6.59,20.54544551587297,17.13544551587297
Bursa,Büyükorhan,39.74222592946965,28.84076119702224,12.234923076923076,0.0,23.27,10,0.0,22.682083333333335,0.0
Bursa,Gemlik,40.43308628997939,29.15077065434237,14.389,0.0,0.0,10,10.0,58.14490380952378,58.14490380952378
Bursa,Gürsu,40.26506435710233,29.179195644003936,14.389,0.0,0.0,10,10.0,58.14490380952378,58.14490380952378
Bursa,Harmancık,39.654208919373616,29.110398587566632,11.656538461538462,0.0,61.33,10,0.0,47.73241916666665,0.0
Bursa,Karacabey,40.2506147447206,28.366260752503567,16.112615384615385,0.0,0.07,10,9.93,71.00651250000004,70.93651250000005
Bursa,Keles,39.89087917800992,29.222322089412927,11.155153846153846,0.0,35.15,10,0.0,21.135798095238087,0.0
Bursa,Kestel,40.189204642800526,29.25484189721345,11.155153846153846,0.0,11.1,10,0.0,21.135798095238087,10.035798095238087
Bursa,Mudanya,40.329420837948334,28.76125777747832,15.650846153846151,0.0,0.22,10,9.78,58.28474285714282,58.06474285714282
Bursa,Mustafa Kemalpaşa,39.975895156889386,28.512530197711737,13.676846153846151,0.0,31.78,10,0.0,35.82157029401151,4.041570294011507
Bursa,Nilüfer,40.22204261687022,28.890598728375533,13.676846153846151,0.0,0.0,10,10.0,35.82157029401151,35.82157029401151
Bursa,Orhaneli,39.92629502402387,28.916652404445635,13.676846153846151,0.0,33.83,10,0.0,35.82157029401151,1.9915702940115096
Bursa,Orhangazi,40.46876919313118,29.350114594256453,14.389,0.0,0.0,10,10.0,58.14490380952378,58.14490380952378
Bursa,Osmangazi,40.081832405102254,29.07018973707085,11.155153846153846,0.0,24.81,10,0.0,21.135798095238087,0.0
Bursa,Yenişehir,40.280319560486575,29.591409411245856,14.389,0.0,0.0,10,10.0,58.14490380952378,58.14490380952378
Bursa,Yıldırım,40.18449058904989,29.08512512822974,11.155153846153846,0.0,0.0,10,10.0,21.135798095238087,21.135798095238087
Bursa,İnegöl,40.0349870607832,29.522770543575465,11.155153846153846,0.0,0.53,10,9.47,21.135798095238087,20.605798095238086
Bursa,İznik,40.489658157507016,29.681730234274216,14.389,0.0,0.7,10,9.3,58.14490380952378,57.44490380952378
Denizli,Acıpayam,37.33933383939545,29.33396507387319,12.531615384615383,0.0,19.35,10,0.0,25.885761309523808,6.5357613095238065
Denizli,Akköy,37.94103850464806,29.086027955019617,14.447,0.0,0.0,10,10.0,37.341786666666565,37.341786666666565
Denizli,Babadağ,37.77111400029565,28.898037396240795,15.060692307692308,0.0,29.73,10,0.0,22.47044425144299,0.0
Denizli,Baklan,37.92459317400562,29.54562852887636,14.447,0.0,0.0,10,10.0,37.341786666666565,37.341786666666565
Denizli,Bekilli,38.18746994776894,29.436349283272563,14.447,0.0,0.0,10,10.0,37.341786666666565,37.341786666666565
Denizli,Beyağaç,37.24500268960412,28.9225463583052,17.18169230769231,0.0,0.0,10,10.0,56.62326015873018,56.62326015873018
Denizli,Bozkurt,37.740664155312416,29.541026087153085,12.531615384615383,0.0,8.2,10,1.8000000000000007,25.885761309523808,17.68576130952381
Denizli,Buldan,38.09587092586782,28.876152875964728,15.060692307692308,0.0,0.0,10,10.0,22.47044425144299,22.47044425144299
Denizli,Güney,38.142722497048815,29.063872953575608,14.447,0.0,1.51,10,8.49,37.341786666666565,35.83178666666657
Denizli,Honaz,37.734171775458215,29.329039908395,12.531615384615383,0.0,48.68,10,0.0,25.885761309523808,0.0
Denizli,Kale,37.43766297456657,28.74912834300417,14.587153846153845,0.0,9.6,10,0.4000000000000003,30.227295198412772,20.627295198412774
Denizli,Merkez,37.79372417019381,29.13234088059556,14.447,0.0,1.14,10,8.86,37.341786666666565,36.201786666666564
Denizli,Sarayköy,37.89836458698163,28.912885148733352,15.060692307692308,0.0,0.0,10,10.0,22.47044425144299,22.47044425144299
Denizli,Serinhisar,37.552817219173086,29.28114095769856,12.531615384615383,0.0,0.0,10,10.0,25.885761309523808,25.885761309523808
Denizli,Tavas,37.46421051239274,29.01421998591196,14.587153846153845,0.0,0.0,10,10.0,30.227295198412772,30.227295198412772
Denizli,Çal,38.02226458442735,29.352446079966764,14.447,0.0,0.0,10,10.0,37.341786666666565,37.341786666666565
Denizli,Çameli,37.01755459625872,29.233624784482405,12.564615384615385,0.0,0.0,10,10.0,17.17355107142862,17.17355107142862
Denizli,Çardak,37.75051688722983,29.69483873165797,13.137692307692308,0.0,0.0,10,10.0,60.45868694444426,60.45868694444426
