province_name,district_name,trees_needed,treecover_pct,potential_treecover_pct_model,treecover_gap_pct
Ankara,Çankaya,795676,0.0,8.226852112198761,8.226852112198761
Ankara,Çubuk,1357041,0.0,1.7857490912238967,1.7857490912238967
Ankara,Şultan Koçhisar,0,0.0,0.0,0.0
Antalya,Akseki,6822072,0.0,10.126646588874324,10.126646588874324
Antalya,Alanya,2434741,12.96,16.07366871894649,3.1136687189464887
Antalya,Elmalı,9112138,0.0,9.808475990851624,9.808475990851624
Antalya,Finike,3849799,0.0,11.258266772969485,11.258266772969485
Antalya,Gazipaşa,0,47.36,11.10279645282335,0.0
Antalya,Gündoğmuş,0,42.22,15.859317997707546,0.0
Antalya,Kale,0,38.4,12.308337559648415,0.0
Antalya,Kaş,0,11.96,11.111876329494434,0.0
Antalya,Kemer,0,38.91,13.201784493136952,0.0
