province_name,district_name,trees_needed,treecover_pct,model_potential_treecover_pct,treecover_gap_pct
Ankara,Nallıhan,25863220,6.68,29.47165316679401,22.79165316679401
Ankara,Polatlı,42182171,0.0,24.96918611184006,24.96918611184006
Ankara,Sincan,5273682,0.0,29.47165316679401,29.47165316679401
Ankara,Yenimahalle,7984455,0.0,29.47165316679401,29.47165316679401
Ankara,Çamlıdere,8222181,2.07,42.63668216267263,40.56668216267263
Ankara,Çankaya,2085759,0.0,21.565606711883156,21.565606711883156
Ankara,Çubuk,32570610,0.0,42.86011013404343,42.86011013404343
Ankara,Şultan Koçhisar,73400811,0.0,65.63595459584266,65.63595459584266
Antalya,Akseki,16821125,0.0,24.96918611184006,24.96918611184006
Antalya,Alanya,11944426,12.96,28.235127924267466,15.275127924267466
Antalya,Elmalı,31058081,0.0,33.43149962897458,33.43149962897458
